Phase,Foot_X,Foot_Y,Knee_Angle,Ankle_Angle
0.000000000000000000e+00,3.486304879188537598e-01,-6.688508987426757812e-01,-1.271713733673095703e+00,-4.288847446441650391e-01
1.010101010101010187e-02,3.154070049069232495e-01,-6.731980147220377741e-01,-1.306334776617638083e+00,-4.270594062129653978e-01
2.020202020202020374e-02,2.946512944461718297e-01,-6.903227703015889505e-01,-1.287023751045256459e+00,-4.501524815781308142e-01
3.030303030303030387e-02,2.695017315985030470e-01,-7.112397128121908940e-01,-1.248092940755712421e+00,-5.025976260958596731e-01
4.040404040404040747e-02,2.284130375130921653e-01,-7.320596268499792725e-01,-1.208221162312479446e+00,-5.841499643645169382e-01
5.050505050505051108e-02,1.758771098948637424e-01,-7.594468592269865148e-01,-1.149152204428356194e+00,-6.791202619273047913e-01
6.060606060606060774e-02,1.351719022371971890e-01,-7.680210798593860577e-01,-1.103627936350900507e+00,-7.415824177730326872e-01
7.070707070707071829e-02,1.181979208203201015e-01,-7.422413020116612747e-01,-1.100043376173655441e+00,-7.544434949364946519e-01
8.080808080808081495e-02,9.921044338054814393e-02,-7.231669679617881430e-01,-1.088666148936594968e+00,-7.855736711158438634e-01
9.090909090909091161e-02,6.404524110697942807e-02,-7.522188720681626251e-01,-9.836284195410283093e-01,-9.014746381966429745e-01
1.010101010101010222e-01,2.332534600086720242e-02,-8.095662970659144309e-01,-8.103485725538606133e-01,-1.065182137697735065e+00
1.111111111111111188e-01,1.691710133831796255e-03,-8.222229878072080389e-01,-7.098524082607930996e-01,-1.152877613847809624e+00
1.212121212121212155e-01,-2.013207101940406654e-02,-8.270387058767837418e-01,-6.150155383617575966e-01,-1.235488906605944681e+00
1.313131313131313260e-01,-4.396843179049487321e-02,-8.524802178963580834e-01,-5.112562315648986333e-01,-1.327200416648455228e+00
1.414141414141414366e-01,-5.686822444803384113e-02,-8.873590561411425215e-01,-4.562177346402000455e-01,-1.374909627967034753e+00
1.515151515151515194e-01,-8.543295072526602141e-02,-9.187067285480896572e-01,-3.998828951645131413e-01,-1.444470832487861678e+00
1.616161616161616299e-01,-1.190345588692329204e-01,-9.373482264103565331e-01,-3.356678222776015574e-01,-1.521734206313628324e+00
1.717171717171717404e-01,-1.377143582122833942e-01,-9.460971693938431404e-01,-2.876674680735993861e-01,-1.562877756123782769e+00
1.818181818181818232e-01,-1.614383516245423422e-01,-9.632237462485563340e-01,-2.508489571630663773e-01,-1.603956515081543355e+00
1.919191919191919338e-01,-1.765837040543217495e-01,-9.740872094051922225e-01,-2.092965053511612605e-01,-1.643405985650220558e+00
2.020202020202020443e-01,-1.743027304615576423e-01,-9.707174003016069141e-01,-1.590920882994517338e-01,-1.670068935573255864e+00
2.121212121212121271e-01,-1.764998631305958743e-01,-9.770077781526617100e-01,-1.172927129318956513e-01,-1.691313487752735378e+00
2.222222222222222376e-01,-1.858446746216904644e-01,-1.002363604099302474e+00,-9.172298067622804141e-02,-1.708431712654949752e+00
2.323232323232323482e-01,-1.942969095601267127e-01,-1.029508335035240307e+00,-8.556619069851302550e-02,-1.716346296666611426e+00
2.424242424242424310e-01,-1.947920540659294764e-01,-1.032462705015559701e+00,-9.023272208860480537e-02,-1.714204101314404038e+00
2.525252525252525415e-01,-1.957834614783651450e-01,-1.031124313160175943e+00,-6.528951889702917788e-02,-1.726826357072691831e+00
2.626262626262626521e-01,-1.933562880102425996e-01,-1.030500292909825477e+00,-4.342063010273161661e-02,-1.734480785603770503e+00
2.727272727272727626e-01,-1.819461330436409896e-01,-1.026108159983768919e+00,-6.638036669957710079e-02,-1.712931625588266060e+00
2.828282828282828731e-01,-1.775064513609613259e-01,-1.033609654170050796e+00,-6.333992423346793132e-02,-1.710097970495781716e+00
2.929292929292929282e-01,-1.701682898084289353e-01,-1.046252093960467366e+00,-4.742695598421783898e-02,-1.710074625475689780e+00
3.030303030303030387e-01,-1.538143147695225921e-01,-1.050475647657844958e+00,-5.603688613910010052e-02,-1.689860725125911456e+00
3.131313131313131493e-01,-1.484800456829918069e-01,-1.046915349296980491e+00,-7.267236078444419545e-02,-1.677160048300295081e+00
3.232323232323232598e-01,-1.398119626302201934e-01,-1.052237314370780163e+00,-5.622650701309625521e-02,-1.676286303032433311e+00
3.333333333333333703e-01,-1.244242638349532526e-01,-1.062051057815551758e+00,-2.480769157409663805e-02,-1.675596237182617188e+00
3.434343434343434809e-01,-1.195135508770004684e-01,-1.054123674136178357e+00,-3.772080576958641157e-02,-1.665473362025196025e+00
3.535353535353535914e-01,-1.092124460538428377e-01,-1.057738943634688900e+00,-1.213713549931214920e-02,-1.668159226923578320e+00
3.636363636363636465e-01,-9.613956032030590571e-02,-1.071708173011343579e+00,4.573569056178140163e-02,-1.682869868505568078e+00
3.737373737373737570e-01,-9.265637595337317123e-02,-1.070265770318412191e+00,5.756042921357597264e-02,-1.685490954190276724e+00
3.838383838383838675e-01,-7.793513467807502981e-02,-1.061972756118290784e+00,3.875498136340036620e-02,-1.663029947877700865e+00
3.939393939393939781e-01,-5.528854395682778616e-02,-1.064517758733292130e+00,2.648161007393175573e-02,-1.635784635764484074e+00
4.040404040404040886e-01,-3.994042755781706394e-02,-1.079340591340181232e+00,3.827429698506360639e-02,-1.626563776929104366e+00
4.141414141414141992e-01,-3.395755035266553867e-02,-1.079025488314968362e+00,5.119708557061068699e-02,-1.627018031571814127e+00
4.242424242424242542e-01,-2.715702001748920846e-02,-1.069855628655016710e+00,5.719972709716304032e-02,-1.624201009298072096e+00
4.343434343434343647e-01,-1.568990178489184165e-02,-1.066306042967268830e+00,5.763673094392594148e-02,-1.614695007112731728e+00
4.444444444444444753e-01,-6.365194343531184636e-03,-1.071337101106708545e+00,5.631377817399042113e-02,-1.605636845200791640e+00
4.545454545454545858e-01,1.024259240312863813e-02,-1.079728160976078488e+00,5.977701399354447276e-02,-1.592116182078687325e+00
4.646464646464646964e-01,3.259380198785678806e-02,-1.079168408389916456e+00,5.368158779600392533e-02,-1.568223283470621343e+00
4.747474747474748069e-01,4.921372607628813484e-02,-1.064417395008346201e+00,2.081596318675961454e-02,-1.535361714509221986e+00
4.848484848484848619e-01,6.333738599684569925e-02,-1.063514634669393333e+00,-2.357183410447278703e-03,-1.510149546924014929e+00
4.949494949494949725e-01,6.934446019160063479e-02,-1.074302518296071263e+00,2.249222101467373766e-02,-1.517931734593720883e+00
5.050505050505050830e-01,6.324797605475700191e-02,-1.079428417731394862e+00,7.700190906937241786e-02,-1.552475168080529322e+00
5.151515151515152491e-01,5.994169217834180441e-02,-1.082236655527498925e+00,5.643764022085871745e-02,-1.544968580295358329e+00
5.252525252525253041e-01,6.428663967878858743e-02,-1.090987712142622135e+00,1.420465614250563009e-02,-1.519336977420924661e+00
5.353535353535353591e-01,7.004320126465832241e-02,-1.099396197174579370e+00,9.819204594634013683e-03,-1.512255196206853558e+00
5.454545454545455252e-01,6.866580381271593370e-02,-1.086786128275011309e+00,4.031359248923322910e-03,-1.509824914237153815e+00
5.555555555555555802e-01,7.815657389113844777e-02,-1.076508908456390801e+00,1.612755632021157029e-02,-1.506883087739198546e+00
5.656565656565657463e-01,9.527938210503382466e-02,-1.075438864901963054e+00,4.962023776340538511e-02,-1.508762117299995431e+00
5.757575757575758013e-01,9.634446733640616989e-02,-1.066663871062208724e+00,6.155639656665914949e-02,-1.513740303309999202e+00
5.858585858585858563e-01,9.635351767729993799e-02,-1.064213615292283865e+00,-4.055903299416650787e-03,-1.478373726859856463e+00
5.959595959595960224e-01,1.047393572585631760e-01,-1.061785859984869074e+00,-6.118018168645257548e-02,-1.439449767279787684e+00
